window_start,instrument,topic,lag,m5_p,m5_score,m5_n,m6_ic,m6_p,m6_n,research,production,error
2022-01-02,USD_RUB,oil,1,0.29302,0.002259,258,0.026834,0.4,258,False,False,
2022-01-02,USD_RUB,oil,7,0.112199,-0.003294,258,0.003796,0.555,252,False,False,
2022-01-02,USD_RUB,oil,14,0.903856,0.000246,258,0.099965,0.94,245,False,False,
2022-01-02,USD_RUB,oil,30,0.344232,0.001112,258,0.076427,0.16,229,False,False,
2022-01-02,USD_RUB,oil,60,0.816415,0.000119,258,0.0,1.0,199,False,False,
2022-01-02,USD_RUB,rate,1,0.99419,-1.5e-05,258,0.125712,0.965,258,False,False,
2022-01-02,USD_RUB,rate,7,0.740468,0.000738,258,0.019096,0.46,252,False,False,
2022-01-02,USD_RUB,rate,14,0.662616,0.00106,258,0.048154,0.24,245,False,False,
2022-01-02,USD_RUB,rate,30,0.497577,-0.000695,258,0.006159,0.485,229,False,False,
2022-01-02,USD_RUB,rate,60,0.868999,-3.5e-05,258,0.0,1.0,199,False,False,
2022-01-02,USD_RUB,ruble,1,0.080423,0.003199,258,0.01475,0.595,258,False,False,
2022-01-02,USD_RUB,ruble,7,0.791256,0.000512,258,0.030046,0.67,252,False,False,
2022-01-02,USD_RUB,ruble,14,0.991603,2.3e-05,258,0.036961,0.335,245,False,False,
2022-01-02,USD_RUB,ruble,30,0.561918,-0.000673,258,0.036161,0.27,229,False,False,
2022-01-02,USD_RUB,ruble,60,0.565836,0.000237,258,0.0,1.0,199,False,False,
2022-01-02,USD_RUB,sanctions,1,0.052867,0.002619,258,0.064785,0.78,258,False,False,
2022-01-02,USD_RUB,sanctions,7,0.882817,0.000245,258,0.015514,0.605,252,False,False,
2022-01-02,USD_RUB,sanctions,14,0.186594,-0.002689,258,0.134533,0.99,245,False,False,
2022-01-02,USD_RUB,sanctions,30,0.86304,0.000214,258,0.040322,0.335,229,False,False,
2022-01-02,USD_RUB,sanctions,60,0.442261,0.000429,258,0.0,1.0,199,False,False,
2022-01-02,USD_RUB,inflation,1,0.508308,-0.001259,258,0.062282,0.83,258,False,False,
2022-01-02,USD_RUB,inflation,7,0.955545,-0.000112,258,0.127752,0.955,252,False,False,
2022-01-02,USD_RUB,inflation,14,0.855425,0.000396,258,0.059175,0.805,245,False,False,
2022-01-02,USD_RUB,inflation,30,0.995379,6e-06,258,0.019426,0.38,229,False,False,
2022-01-02,USD_RUB,inflation,60,0.483004,0.000255,258,0.0,1.0,199,False,False,
2022-01-02,USD_RUB,banking,1,0.565617,-0.001186,258,0.040313,0.73,258,False,False,
2022-01-02,USD_RUB,banking,7,0.281853,0.002283,258,0.049013,0.72,252,False,False,
2022-01-02,USD_RUB,banking,14,0.975812,7e-05,258,0.100175,0.895,245,False,False,
2022-01-02,USD_RUB,banking,30,0.212629,-0.001451,258,0.119418,0.955,229,False,False,
2022-01-02,USD_RUB,banking,60,0.763699,-0.000101,258,0.0,1.0,199,False,False,
2022-01-02,USD_RUB,gold,1,0.748237,-0.000687,258,0.007509,0.58,258,False,False,
2022-01-02,USD_RUB,gold,7,0.001776,0.006862,258,0.071268,0.805,252,False,False,
2022-01-02,USD_RUB,gold,14,0.610059,0.001158,258,0.122652,0.925,245,False,False,
2022-01-02,USD_RUB,gold,30,0.891491,-0.000147,258,0.000483,0.475,229,False,False,
2022-01-02,USD_RUB,gold,60,0.952377,-2.4e-05,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,oil,1,0.29302,0.002259,258,0.026834,0.4,258,False,False,
2022-01-02,EUR_RUB,oil,7,0.112199,-0.003294,258,0.003796,0.555,252,False,False,
2022-01-02,EUR_RUB,oil,14,0.903856,0.000246,258,0.099965,0.94,245,False,False,
2022-01-02,EUR_RUB,oil,30,0.344232,0.001112,258,0.076427,0.16,229,False,False,
2022-01-02,EUR_RUB,oil,60,0.816415,0.000119,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,rate,1,0.99419,-1.5e-05,258,0.125712,0.965,258,False,False,
2022-01-02,EUR_RUB,rate,7,0.740468,0.000738,258,0.019096,0.46,252,False,False,
2022-01-02,EUR_RUB,rate,14,0.662616,0.00106,258,0.048154,0.24,245,False,False,
2022-01-02,EUR_RUB,rate,30,0.497577,-0.000695,258,0.006159,0.485,229,False,False,
2022-01-02,EUR_RUB,rate,60,0.868999,-3.5e-05,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,ruble,1,0.080423,0.003199,258,0.01475,0.595,258,False,False,
2022-01-02,EUR_RUB,ruble,7,0.791256,0.000512,258,0.030046,0.67,252,False,False,
2022-01-02,EUR_RUB,ruble,14,0.991603,2.3e-05,258,0.036961,0.335,245,False,False,
2022-01-02,EUR_RUB,ruble,30,0.561918,-0.000673,258,0.036161,0.27,229,False,False,
2022-01-02,EUR_RUB,ruble,60,0.565836,0.000237,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,sanctions,1,0.052867,0.002619,258,0.064785,0.78,258,False,False,
2022-01-02,EUR_RUB,sanctions,7,0.882817,0.000245,258,0.015514,0.605,252,False,False,
2022-01-02,EUR_RUB,sanctions,14,0.186594,-0.002689,258,0.134533,0.99,245,False,False,
2022-01-02,EUR_RUB,sanctions,30,0.86304,0.000214,258,0.040322,0.335,229,False,False,
2022-01-02,EUR_RUB,sanctions,60,0.442261,0.000429,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,inflation,1,0.508308,-0.001259,258,0.062282,0.83,258,False,False,
2022-01-02,EUR_RUB,inflation,7,0.955545,-0.000112,258,0.127752,0.955,252,False,False,
2022-01-02,EUR_RUB,inflation,14,0.855425,0.000396,258,0.059175,0.805,245,False,False,
2022-01-02,EUR_RUB,inflation,30,0.995379,6e-06,258,0.019426,0.38,229,False,False,
2022-01-02,EUR_RUB,inflation,60,0.483004,0.000255,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,banking,1,0.565617,-0.001186,258,0.040313,0.73,258,False,False,
2022-01-02,EUR_RUB,banking,7,0.281853,0.002283,258,0.049013,0.72,252,False,False,
2022-01-02,EUR_RUB,banking,14,0.975812,7e-05,258,0.100175,0.895,245,False,False,
2022-01-02,EUR_RUB,banking,30,0.212629,-0.001451,258,0.119418,0.955,229,False,False,
2022-01-02,EUR_RUB,banking,60,0.763699,-0.000101,258,0.0,1.0,199,False,False,
2022-01-02,EUR_RUB,gold,1,0.748237,-0.000687,258,0.007509,0.58,258,False,False,
2022-01-02,EUR_RUB,gold,7,0.001776,0.006862,258,0.071268,0.805,252,False,False,
2022-01-02,EUR_RUB,gold,14,0.610059,0.001158,258,0.122652,0.925,245,False,False,
2022-01-02,EUR_RUB,gold,30,0.891491,-0.000147,258,0.000483,0.475,229,False,False,
2022-01-02,EUR_RUB,gold,60,0.952377,-2.4e-05,258,0.0,1.0,199,False,False,
2022-01-02,BRENT,oil,1,0.994861,-1.2e-05,256,0.037308,0.305,256,False,False,
2022-01-02,BRENT,oil,7,0.619087,-0.000886,256,0.00054,0.56,250,False,False,
2022-01-02,BRENT,oil,14,0.728935,0.000639,256,0.041769,0.24,243,False,False,
2022-01-02,BRENT,oil,30,0.446969,0.0006,256,0.060416,0.225,227,False,False,
2022-01-02,BRENT,oil,60,0.195017,0.00026,256,0.0,1.0,197,False,False,
2022-01-02,BRENT,rate,1,0.859965,-0.000316,256,0.07726,0.165,256,False,False,
2022-01-02,BRENT,rate,7,0.491975,0.001272,256,0.027629,0.435,250,False,False,
2022-01-02,BRENT,rate,14,0.577865,0.001135,256,0.048463,0.815,243,False,False,
2022-01-02,BRENT,rate,30,0.709526,0.000297,256,0.04769,0.75,227,False,False,
2022-01-02,BRENT,rate,60,0.527038,0.000115,256,0.0,1.0,197,False,False,
2022-01-02,BRENT,ruble,1,0.123581,0.002399,256,0.024218,0.335,256,False,False,
2022-01-02,BRENT,ruble,7,0.013388,-0.004276,256,0.057851,0.73,250,False,False,
2022-01-02,BRENT,ruble,14,0.845061,0.000369,256,0.035706,0.725,243,False,False,
2022-01-02,BRENT,ruble,30,0.268115,0.001008,256,0.015573,0.585,227,False,False,
2022-01-02,BRENT,ruble,60,0.77099,-6.2e-05,256,0.0,1.0,197,False,False,
2022-01-02,BRENT,sanctions,1,0.915803,-0.00012,256,0.010097,0.365,256,False,False,
2022-01-02,BRENT,sanctions,7,0.077783,-0.002341,256,0.136561,0.04,250,False,False,
2022-01-02,BRENT,sanctions,14,0.679077,-0.000685,256,0.055368,0.805,243,False,False,
2022-01-02,BRENT,sanctions,30,0.831509,-0.000207,256,0.023953,0.335,227,False,False,
2022-01-02,BRENT,sanctions,60,0.957327,1.6e-05,256,0.0,1.0,197,False,False,
2022-01-02,BRENT,inflation,1,0.83177,0.000339,256,0.054337,0.18,256,False,False,
2022-01-02,BRENT,inflation,7,0.546096,0.001033,256,0.071702,0.85,250,False,False,
2022-01-02,BRENT,inflation,14,0.816934,-0.000433,256,0.011507,0.56,243,False,False,
2022-01-02,BRENT,inflation,30,0.925902,7.6e-05,256,0.048699,0.26,227,False,False,
2022-01-02,BRENT,inflation,60,0.964389,1.5e-05,256,0.0,1.0,197,False,False,
2022-01-02,BRENT,banking,1,0.685158,0.000704,256,0.015257,0.39,256,False,False,
2022-01-02,BRENT,banking,7,0.91269,0.000192,256,0.062128,0.155,250,False,False,
