window_start,instrument,topic,lag,m5_p,m5_score,m5_n,m6_ic,m6_p,m6_n,research,production,error
2022-01-02,USD_RUB,oil,1,0.29302,0.002259,258,0.026834,0.4,258,False,False,
2022-01-02,USD_RUB,oil,7,0.112199,-0.003294,258,0.003796,0.555,252,False,False,
2022-01-02,USD_RUB,oil,14,0.903856,0.000246,258,0.099965,0.94,245,False,False,
2022-01-02,USD_RUB,oil,30,0.344232,0.001112,258,0.076427,0.16,229,False,False,
2022-01-02,USD_RUB,rate,1,0.99419,-1.5e-05,258,0.125712,0.965,258,False,False,
2022-01-02,USD_RUB,rate,7,0.740468,0.000738,258,0.019096,0.46,252,False,False,
2022-01-02,USD_RUB,rate,14,0.662616,0.00106,258,0.048154,0.24,245,False,False,
2022-01-02,USD_RUB,rate,30,0.497577,-0.000695,258,0.006159,0.485,229,False,False,
2022-01-02,USD_RUB,ruble,1,0.080423,0.003199,258,0.01475,0.595,258,False,False,
2022-01-02,USD_RUB,ruble,7,0.791256,0.000512,258,0.030046,0.67,252,False,False,
2022-01-02,USD_RUB,ruble,14,0.991603,2.3e-05,258,0.036961,0.335,245,False,False,
2022-01-02,USD_RUB,ruble,30,0.561918,-0.000673,258,0.036161,0.27,229,False,False,
2022-01-02,USD_RUB,sanctions,1,0.052867,0.002619,258,0.064785,0.78,258,False,False,
2022-01-02,USD_RUB,sanctions,7,0.882817,0.000245,258,0.015514,0.605,252,False,False,
2022-01-02,USD_RUB,sanctions,14,0.186594,-0.002689,258,0.134533,0.99,245,False,False,
2022-01-02,USD_RUB,sanctions,30,0.86304,0.000214,258,0.040322,0.335,229,False,False,
2022-01-02,USD_RUB,inflation,1,0.508308,-0.001259,258,0.062282,0.83,258,False,False,
2022-01-02,USD_RUB,inflation,7,0.955545,-0.000112,258,0.127752,0.955,252,False,False,
2022-01-02,USD_RUB,inflation,14,0.855425,0.000396,258,0.059175,0.805,245,False,False,
2022-01-02,USD_RUB,inflation,30,0.995379,6e-06,258,0.019426,0.38,229,False,False,
2022-01-02,USD_RUB,banking,1,0.565617,-0.001186,258,0.040313,0.73,258,False,False,
2022-01-02,USD_RUB,banking,7,0.281853,0.002283,258,0.049013,0.72,252,False,False,
2022-01-02,USD_RUB,banking,14,0.975812,7e-05,258,0.100175,0.895,245,False,False,
2022-01-02,USD_RUB,banking,30,0.212629,-0.001451,258,0.119418,0.955,229,False,False,
2022-01-02,USD_RUB,gold,1,0.748237,-0.000687,258,0.007509,0.58,258,False,False,
2022-01-02,USD_RUB,gold,7,0.001776,0.006862,258,0.071268,0.805,252,False,False,
2022-01-02,USD_RUB,gold,14,0.610059,0.001158,258,0.122652,0.925,245,False,False,
2022-01-02,USD_RUB,gold,30,0.891491,-0.000147,258,0.000483,0.475,229,False,False,
2022-01-02,EUR_RUB,oil,1,0.29302,0.002259,258,0.026834,0.4,258,False,False,
2022-01-02,EUR_RUB,oil,7,0.112199,-0.003294,258,0.003796,0.555,252,False,False,
2022-01-02,EUR_RUB,oil,14,0.903856,0.000246,258,0.099965,0.94,245,False,False,
2022-01-02,EUR_RUB,oil,30,0.344232,0.001112,258,0.076427,0.16,229,False,False,
2022-01-02,EUR_RUB,rate,1,0.99419,-1.5e-05,258,0.125712,0.965,258,False,False,
2022-01-02,EUR_RUB,rate,7,0.740468,0.000738,258,0.019096,0.46,252,False,False,
2022-01-02,EUR_RUB,rate,14,0.662616,0.00106,258,0.048154,0.24,245,False,False,
2022-01-02,EUR_RUB,rate,30,0.497577,-0.000695,258,0.006159,0.485,229,False,False,
2022-01-02,EUR_RUB,ruble,1,0.080423,0.003199,258,0.01475,0.595,258,False,False,
2022-01-02,EUR_RUB,ruble,7,0.791256,0.000512,258,0.030046,0.67,252,False,False,
2022-01-02,EUR_RUB,ruble,14,0.991603,2.3e-05,258,0.036961,0.335,245,False,False,
2022-01-02,EUR_RUB,ruble,30,0.561918,-0.000673,258,0.036161,0.27,229,False,False,
2022-01-02,EUR_RUB,sanctions,1,0.052867,0.002619,258,0.064785,0.78,258,False,False,
2022-01-02,EUR_RUB,sanctions,7,0.882817,0.000245,258,0.015514,0.605,252,False,False,
2022-01-02,EUR_RUB,sanctions,14,0.186594,-0.002689,258,0.134533,0.99,245,False,False,
2022-01-02,EUR_RUB,sanctions,30,0.86304,0.000214,258,0.040322,0.335,229,False,False,
2022-01-02,EUR_RUB,inflation,1,0.508308,-0.001259,258,0.062282,0.83,258,False,False,
2022-01-02,EUR_RUB,inflation,7,0.955545,-0.000112,258,0.127752,0.955,252,False,False,
2022-01-02,EUR_RUB,inflation,14,0.855425,0.000396,258,0.059175,0.805,245,False,False,
2022-01-02,EUR_RUB,inflation,30,0.995379,6e-06,258,0.019426,0.38,229,False,False,
2022-01-02,EUR_RUB,banking,1,0.565617,-0.001186,258,0.040313,0.73,258,False,False,
2022-01-02,EUR_RUB,banking,7,0.281853,0.002283,258,0.049013,0.72,252,False,False,
2022-01-02,EUR_RUB,banking,14,0.975812,7e-05,258,0.100175,0.895,245,False,False,
2022-01-02,EUR_RUB,banking,30,0.212629,-0.001451,258,0.119418,0.955,229,False,False,
2022-01-02,EUR_RUB,gold,1,0.748237,-0.000687,258,0.007509,0.58,258,False,False,
2022-01-02,EUR_RUB,gold,7,0.001776,0.006862,258,0.071268,0.805,252,False,False,
2022-01-02,EUR_RUB,gold,14,0.610059,0.001158,258,0.122652,0.925,245,False,False,
2022-01-02,EUR_RUB,gold,30,0.891491,-0.000147,258,0.000483,0.475,229,False,False,
2022-01-02,BRENT,oil,1,0.994861,-1.2e-05,256,0.037308,0.305,256,False,False,
2022-01-02,BRENT,oil,7,0.619087,-0.000886,256,0.00054,0.56,250,False,False,
2022-01-02,BRENT,oil,14,0.728935,0.000639,256,0.041769,0.24,243,False,False,
2022-01-02,BRENT,oil,30,0.446969,0.0006,256,0.060416,0.225,227,False,False,
2022-01-02,BRENT,rate,1,0.859965,-0.000316,256,0.07726,0.165,256,False,False,
2022-01-02,BRENT,rate,7,0.491975,0.001272,256,0.027629,0.435,250,False,False,
2022-01-02,BRENT,rate,14,0.577865,0.001135,256,0.048463,0.815,243,False,False,
2022-01-02,BRENT,rate,30,0.709526,0.000297,256,0.04769,0.75,227,False,False,
2022-01-02,BRENT,ruble,1,0.123581,0.002399,256,0.024218,0.335,256,False,False,
2022-01-02,BRENT,ruble,7,0.013388,-0.004276,256,0.057851,0.73,250,False,False,
2022-01-02,BRENT,ruble,14,0.845061,0.000369,256,0.035706,0.725,243,False,False,
2022-01-02,BRENT,ruble,30,0.268115,0.001008,256,0.015573,0.585,227,False,False,
2022-01-02,BRENT,sanctions,1,0.915803,-0.00012,256,0.010097,0.365,256,False,False,
2022-01-02,BRENT,sanctions,7,0.077783,-0.002341,256,0.136561,0.04,250,False,False,
2022-01-02,BRENT,sanctions,14,0.679077,-0.000685,256,0.055368,0.805,243,False,False,
2022-01-02,BRENT,sanctions,30,0.831509,-0.000207,256,0.023953,0.335,227,False,False,
2022-01-02,BRENT,inflation,1,0.83177,0.000339,256,0.054337,0.18,256,False,False,
2022-01-02,BRENT,inflation,7,0.546096,0.001033,256,0.071702,0.85,250,False,False,
2022-01-02,BRENT,inflation,14,0.816934,-0.000433,256,0.011507,0.56,243,False,False,
2022-01-02,BRENT,inflation,30,0.925902,7.6e-05,256,0.048699,0.26,227,False,False,
2022-01-02,BRENT,banking,1,0.685158,0.000704,256,0.015257,0.39,256,False,False,
2022-01-02,BRENT,banking,7,0.91269,0.000192,256,0.062128,0.155,250,False,False,
2022-01-02,BRENT,banking,14,0.579154,-0.001038,256,0.018692,0.425,243,False,False,
2022-01-02,BRENT,banking,30,0.613049,0.000405,256,0.004066,0.43,227,False,False,
2022-01-02,BRENT,gold,1,0.646086,-0.000834,256,0.052467,0.81,256,False,False,
2022-01-02,BRENT,gold,7,0.098981,0.003133,256,0.104317,0.065,250,False,False,
2022-01-02,BRENT,gold,14,0.02695,-0.004264,256,0.022852,0.395,243,False,False,
2022-01-02,BRENT,gold,30,0.846486,0.00017,256,0.150691,0.03,227,False,False,
2022-01-02,SP500,oil,1,0.785518,0.00024,260,0.000705,0.5,259,False,False,
2022-01-02,SP500,oil,7,0.443369,0.000549,260,0.067873,0.175,253,False,False,
2022-01-02,SP500,oil,14,0.686256,0.000312,260,0.111605,0.935,246,False,False,
2022-01-02,SP500,oil,30,0.613539,0.000221,260,0.058103,0.76,230,False,False,
2022-01-02,SP500,rate,1,0.498595,-0.000595,260,0.136174,1.0,259,False,False,
2022-01-02,SP500,rate,7,0.241345,0.00084,260,0.030794,0.36,253,False,False,
2022-01-02,SP500,rate,14,0.730367,-0.000265,260,0.140598,0.985,246,False,False,
2022-01-02,SP500,rate,30,0.657176,0.000191,260,0.117473,0.94,230,False,False,
2022-01-02,SP500,ruble,1,0.676892,0.000305,260,0.087173,0.13,259,False,False,
2022-01-02,SP500,ruble,7,0.755392,-0.000241,260,0.033787,0.64,253,False,False,
2022-01-02,SP500,ruble,14,0.798381,0.000201,260,0.060993,0.78,246,False,False,
2022-01-02,SP500,ruble,30,0.783887,-9.4e-05,260,0.004806,0.505,230,False,False,
2022-01-02,SP500,sanctions,1,0.857486,0.000116,260,0.034872,0.285,259,False,False,
2022-01-02,SP500,sanctions,7,0.817894,0.00014,260,0.015532,0.57,253,False,False,
2022-01-02,SP500,sanctions,14,0.488931,-0.000448,260,0.017186,0.605,246,False,False,
2022-01-02,SP500,sanctions,30,0.359646,0.000306,260,0.012149,0.475,230,False,False,
2022-01-02,SP500,inflation,1,0.781105,-0.000243,260,0.088982,0.915,259,False,False,
2022-01-02,SP500,inflation,7,0.505327,0.00042,260,0.056348,0.77,253,False,False,
2022-01-02,SP500,inflation,14,0.391677,-0.000612,260,0.109367,0.94,246,False,False,
2022-01-02,SP500,inflation,30,0.29511,0.000399,260,0.079989,0.865,230,False,False,
2022-01-02,SP500,banking,1,0.968136,3.5e-05,260,0.045543,0.825,259,False,False,
2022-01-02,SP500,banking,7,0.931126,6.4e-05,260,0.142946,0.98,253,False,False,
2022-01-02,SP500,banking,14,0.829486,0.000168,260,0.07094,0.795,246,False,False,
2022-01-02,SP500,banking,30,0.908775,-4.6e-05,260,0.12063,0.95,230,False,False,
2022-01-02,SP500,gold,1,0.332238,0.000851,260,0.032598,0.65,259,False,False,
2022-01-02,SP500,gold,7,0.552745,0.000487,260,0.090642,0.9,253,False,False,
2022-01-02,SP500,gold,14,0.491567,-0.000567,260,0.04545,0.715,246,False,False,
2022-01-02,SP500,gold,30,0.866701,6.3e-05,260,0.012471,0.58,230,False,False,
2022-01-02,MSCI_WORLD,oil,1,0.488386,0.000567,258,0.013155,0.43,258,False,False,
2022-01-02,MSCI_WORLD,oil,7,0.355679,0.000733,258,0.023683,0.34,252,False,False,
2022-01-02,MSCI_WORLD,oil,14,0.52155,0.000507,258,0.090597,0.88,245,False,False,
2022-01-02,MSCI_WORLD,oil,30,0.272097,-0.000398,258,0.004188,0.575,229,False,False,
2022-01-02,MSCI_WORLD,rate,1,0.878207,0.000123,258,0.0218,0.365,258,False,False,
2022-01-02,MSCI_WORLD,rate,7,0.475726,0.000608,258,0.062037,0.22,252,False,False,
2022-01-02,MSCI_WORLD,rate,14,0.12905,0.001347,258,0.022399,0.6,245,False,False,
2022-01-02,MSCI_WORLD,rate,30,0.667144,0.000145,258,0.059169,0.81,229,False,False,
2022-01-02,MSCI_WORLD,ruble,1,0.697331,-0.000271,258,0.05934,0.835,258,False,False,
2022-01-02,MSCI_WORLD,ruble,7,0.417651,0.000612,258,0.025622,0.405,252,False,False,
2022-01-02,MSCI_WORLD,ruble,14,0.063295,0.001543,258,0.040576,0.715,245,False,False,
2022-01-02,MSCI_WORLD,ruble,30,0.366342,-0.000339,258,0.052058,0.78,229,False,False,
2022-01-02,MSCI_WORLD,sanctions,1,0.76875,0.00015,258,0.025764,0.355,258,False,False,
2022-01-02,MSCI_WORLD,sanctions,7,0.06734,0.00113,258,0.005361,0.505,252,False,False,
2022-01-02,MSCI_WORLD,sanctions,14,0.389567,0.00061,258,0.041579,0.715,245,False,False,
2022-01-02,MSCI_WORLD,sanctions,30,0.272163,-0.00043,258,0.040646,0.69,229,False,False,
2022-01-02,MSCI_WORLD,inflation,1,0.875835,0.000113,258,0.024243,0.635,258,False,False,
2022-01-02,MSCI_WORLD,inflation,7,0.462224,0.000571,258,0.011555,0.585,252,False,False,
2022-01-02,MSCI_WORLD,inflation,14,0.566165,0.000478,258,0.007324,0.51,245,False,False,
2022-01-02,MSCI_WORLD,inflation,30,0.840049,-7.4e-05,258,0.112961,0.945,229,False,False,
2022-01-02,MSCI_WORLD,banking,1,0.355847,0.000724,258,0.092203,0.9,258,False,False,
2022-01-02,MSCI_WORLD,banking,7,0.21785,0.001006,258,0.008255,0.56,252,False,False,
2022-01-02,MSCI_WORLD,banking,14,0.064118,0.00162,258,0.013011,0.445,245,False,False,
